3,Amy Adams,1029,10
6,Adele,98,1
29,Halle Berry,333,4
60,Lindsay Lohan,850,9
63,Milla Jovovich,775,8
67,Madonna,197,2
89,Abbie Cornish,48,1
96,Porcelain Black,32,1
98,Jennifer Lopez,1306,13
125,Amy Lee,124,2
126,Lana del Rey,679,7
127,AnahГ­,167,2
129,Anna Paquin,24,1
134,Rihanna,1807,18
135,BeyoncГ©,359,4
139,Ashlee Simpson,152,2
148,Zoe Saldana,45,1
149,Kirsten Dunst,93,1
150,Anna Popplewell,15,1
152,Bonnie Wright,70,1
158,Keira Knightley,1064,11
160,Cameron Diaz,383,4
181,Catherine Zeta-Jones,179,2
203,Emily Osment,111,2
209,Hilary Swank,29,1
210,Leona Lewis,96,1
222,Anna Faris,141,2
224,Jessica Biel,191,2
228,Birdy,101,1
239,Olga Kurylenko,396,4
241,Simone Simons,67,1
243,Dulce MarГ­a,338,4
262,Pink,322,4
265,Kristin Cavallari,50,1
282,Alexandra Stan,40,1
288,Naya Rivera,124,2
290,Abigail Breslin,74,1
297,Vanessa Hudgens,645,7
305,Dianna Agron,462,5
313,Alexandra Daddario,179,2
319,Alexis Bledel,61,1
326,Alison Brie,189,2
327,Emily Browning,128,2
329,Alyson Michalka,76,1
334,Alyssa Milano,40,1
339,Amanda Bynes,35,1
343,Amanda Michalka,22,1
347,Amanda Seyfried,268,3
350,Kaya Scodelario,280,3
351,Jessie J,142,2
355,Amber Heard,512,5
356,Amber Lancaster,66,1
365,Miley Cyrus,1410,14
378,Anna Kendrick,179,2
390,Annasophia Robb,188,2
392,Anne Hathaway,523,5
395,Ariana Grande,665,7
405,Ashley Benson,428,5
407,Ashley Greene,241,3
409,Ashley Tisdale,648,7
414,Aubrey O'Day,25,1
416,Avril Lavigne,789,8
430,Dakota Fanning,225,3
431,Christina Perri,35,1
434,Natalie Portman,309,3
437,Nina Dobrev,598,6
438,Blake Lively,315,3
443,Cheryl Cole,244,3
445,Fergie,159,2
457,Christina Aguilera,993,10
463,Demi Lovato,758,8
465,Heidi Montag,44,1
468,Jessica Alba,1093,11
473,Lea Michele,933,9
478,Selena Gomez,2849,28
485,Taylor Swift,1194,12
498,Kristen Stewart,2310,22
499,ClГ©mence PoГ©sy,248,3
500,Katy Perry,709,7
515,Megan Fox,500,5
521,Brittney Palmer,15,1
523,Brooklyn Decker,139,2
526,Brie Larson,153,2
528,Bryce Dallas Howard,227,3
530,Carmen Electra,320,4
537,Chelsea Kane,41,1
542,Cher Lloyd,68,1
546,Christina Milian,223,3
559,Claire Danes,173,2
562,Ciara,263,3
566,Deborah Ann Woll,106,2
572,Rita Ora,844,9
573,Dita Von Teese,604,6
578,Eliza Doolittle,45,1
581,Zooey Deschanel,468,5
584,Gwen Stefani,231,3
586,Emma Stone,269,3
595,Eva Longoria,564,6
601,Evanna Lynch,32,1
603,Nelly Furtado,220,3
605,Leighton Meester,380,4
610,Yvonne Strahovski,135,2
612,Rachel McAdams,693,7
615,Taylor Momsen,180,2
627,Lucy Hale,579,6
635,Eva Green,162,2
639,ChlГ¶e Moretz,872,9
645,Amanda Peet,73,1
648,Alexa Chung,388,4
651,Alexa Vega,90,1
653,Alexandra Breckenridge,38,1
654,Audrey Kitching,48,1
657,Natalia Kills,87,1
659,Lady Gaga,983,10
665,Jennifer Lawrence,437,5
666,Renee Olstead,90,1
669,Nicki Minaj,203,2
684,Charlize Theron,230,3
685,Lily Collins,668,7
696,Amy Winehouse,105,1
698,Anna Friel,31,1
700,Brea Grant,42,1
701,Bella Thorne,871,9
702,Britt Robertson,66,1
704,Brittany Murphy,66,1
705,Bridgit Mendler,146,2
708,Carly Rae Jepsen,130,2
715,Phoebe Tonkin,488,5
718,Camilla Belle,57,1
720,Candice Accola,56,1
721,Carey Mulligan,206,2
726,Carrie Underwood,128,2
730,Christina Hendricks,129,2
738,Courteney Cox,46,1
740,Crystal Reed,59,1
743,Sarah Wayne Callies,54,1
744,Debby Ryan,142,2
749,Nicola Roberts,47,1
755,Heather Morris,52,1
762,Marina and the Diamonds,114,2
770,Kylie Minogue,645,7
771,Nicole Scherzinger,245,3
773,Emmanuelle Chriqui,79,1
781,Emma Watson,1806,18
784,Denise Richards,190,2
795,Mila Kunis,268,3
799,Shailene Woodley,358,4
801,Stefanie Scott,418,4
806,Kristen Bell,334,4
808,Pixie Lott,447,5
811,Ke$ha,223,3
813,Victoria Beckham,129,2
814,Florence Welch,123,2
834,Felicity Jones,496,5
837,Victoria Justice,585,6
842,Maria Sharapova,66,1
844,Emma Roberts,711,7
846,Mandy Moore,454,5
855,Cobie Smulders,58,1
858,Hayden Panettiere,233,3
881,Jennifer Love Hewitt,297,3
885,Alice Eve,86,1
887,Elizabeth Olsen,237,3
888,Katie Holmes,411,4
896,PenГ©lope Cruz,851,9
898,Scarlett Johansson,530,6
901,Kate Beckinsale,1147,11
915,Rachel Bilson,185,2
934,Evan Rachel Wood,278,3
936,Lily Allen,209,2
974,Katrina Bowden,66,1
975,Holland Roden,91,1
986,Kelly Brook,419,4
988,Miranda Cosgrove,100,1
1009,Rosie Huntington-Whiteley,954,10
1013,Paris Hilton,54,1
1016,Sophia Bush,235,3
1018,Katerina Graham,61,1
1020,Hayley Williams,139,2
1025,Celine Dion,20,1
1033,Sarah Hyland,160,2
1034,Maiara Walsh,21,1
1042,Melissa Benoist,81,1
1053,Elle Fanning,627,6
1078,Nicole Kidman,703,7
1083,Gemma Arterton,187,2
1085,Mary Elizabeth Winstead,39,1
1091,Monica Bellucci,58,1
1098,Kate Hudson,559,6
1114,Kendall Jenner,530,6
1118,Nikki Reed,239,3
1130,Sienna Miller,389,4
1137,Joanna Levesque,172,2
1139,Jennifer Morrison,114,2
1140,Maggie Grace,147,2
1144,Tulisa Contostavlos,54,1
1146,Emily Ratajkowski,631,7
1151,Elizabeth Gillies,73,1
1152,Shay Mitchell,423,5
1160,Michelle Trachtenberg,70,1
1164,Kelly Clarkson,40,1
1178,Lena Meyer-Landrum,136,2
1187,Azealia Banks,68,1
1188,Ellie Goulding,274,3
1189,Olivia Holt,215,3
1203,Becca Tobin,51,1
1206,Brittany Snow,170,2
1209,Leslie Mann,65,1
1213,Christina Applegate,12,1
1214,Katherine Heigl,211,3
1215,Jessica Chastain,362,4
1241,Zendaya Coleman,390,4
1272,Jessica Szohr,59,1
1288,Jenny McCarthy,48,1
1289,Sky Ferreira,392,4
1348,Katharine McPhee,67,1
1355,Autumn Reeser,68,1
1356,Jaimie Alexander,79,1
1358,Lauren Cohan,185,2
1374,Drew Barrymore,122,2
1429,Teresa Palmer,137,2
1467,Jasmine Villegas,50,1
1479,Olivia Wilde,399,4
1488,Lucy Lawless,42,1
1491,Nina Nesbitt,13,1
1495,Ellen Pompeo,103,1
1520,Sofia Vergara,93,1
1521,Kaley Cuoco,70,1
1531,Katheryn Winnick,77,1
1615,Saoirse Ronan,200,2
1616,Bella Heathcote,116,2
1617,Emilia Clarke,225,3
1619,January Jones,53,1
1620,Peyton R. List,434,5
1630,Sasha Pieterse,43,1
1632,Karen Elson,62,1
1648,Katie Cassidy,125,2
1693,Emily Blunt,134,2
1697,Dakota Blue Richards,25,1
1715,Reese Witherspoon,139,2
1716,Olsen Twins,9,1
1719,Iggy Azalea,326,4
1725,Olivia Munn,53,1
1746,Carly Rose Sonenclar,9,1
1760,Alice Englert,16,1
1761,Britney Spears,1788,18
1766,Kelly Rowland,42,1
1767,Diana Vickers,40,1
1793,Helena Bonham Carter,42,1
1794,Vanessa Paradis,47,1
1796,Julianne Moore,89,1
1797,Salma Hayek,81,1
1798,Eva Mendes,70,1
1799,Shakira,159,2
1800,Gwyneth Paltrow,87,1
1801,Sara Paxton,16,1
1802,Jordana Brewster,28,1
1803,Evangeline Lilly,137,2
1844,Aimee Teegarden,34,1
1848,Isla Fisher,39,1
1868,Ellen Page,133,2
1884,Emily VanCamp,59,1
1886,Diane Kruger,179,2
1888,Rosamund Pike,94,1
1891,Kat Dennings,18,1
1894,Jennette McCurdy,95,1
1903,Hilary Duff,1154,11
1904,Michelle Rodriguez,19,1
1905,Kate Bosworth,351,4
1921,Imogen Poots,93,1
1922,Arielle Kebbel,113,2
1927,Vanessa Marano,39,1
1937,Lorde,118,2
1945,Alexandra Chando,22,1
1950,Jena Malone,111,2
1958,Danielle Campbell,180,2
1959,Dakota Johnson,254,3
1962,Kerli,28,1
2050,Allison Williams,104,1
2053,Emmy Rossum,142,2
2069,Natalie Dormer,140,2
2097,Cece Frey,11,1
2112,Jennel Garcia,75,1
2123,Claire Holt,107,2
2141,Lily Loveless,10,1
2172,Maia Mitchell,46,1
2173,Maite Perroni,232,3
2174,Sophie Turner,307,3
2183,Charli XCX,358,4
2186,Olivia Thirlby,72,1
2220,Meghan Trainor,68,1
2221,Jamie Chung,70,1
2225,Genesis Rodriguez,27,1
2226,Laura Marano,138,2
2227,Annabelle Wallis,54,1
2228,Marion Cotillard,90,1
2229,Sophie Cookson,39,1
2231,Kate Moss,111,2
2232,Meghan Collison,115,2
2233,Karolina Waz,11,1
2236,Angelina Jolie,189,2
2237,Jennifer Aniston,129,2
2238,Naomi Watts,102,1
2243,Lacey Chabert,10,1
2264,Jane Levy,44,1
2265,Rose Byrne,97,1
2280,Addison Timlin,17,1
2283,Cate Blanchett,198,2
2284,ГЂstrid BergГЁs-Frisbey,51,1
2285,Gillian Jacobs,36,1
2287,Liv Tyler,91,1
2289,Kate Mara,101,1
2290,Hailee Steinfeld,373,4
2294,Mariah Carey,20,1
2299,Kim Kardashian,152,2
2300,Beth Behrs,13,1
2302,Lea Seydoux,144,2
2312,Becky G,155,2
2313,Laura Vandervoort,30,1
2322,Gina Rodriguez,81,1
2325,Lena Dunham,40,1
2328,Adele Exarchopoulos,111,2
2329,Kylie Jenner,190,2
2330,Elizabeth Banks,134,2
2333,Zoey Deutch,268,3
2336,Julianne Hough,74,1
2338,Greta Gerwig,19,1
2339,Maika Monroe,166,2
2340,Emma Fitzpatrick,7,1
2347,Freida Pinto,29,1
2348,ZoГ« Kravitz,60,1
2349,Kate Winslet,46,1
2351,Khloe Kardashian,74,1
2352,Olivia Palermo,45,1
2357,Lily James,184,2
2363,Brit Marling,117,2
2364,Banks,57,1
2377,Michelle Williams,59,1
2378,Margot Robbie,451,5
2395,Suki Waterhouse,103,1
2396,Aubrey Plaza,88,1
2397,Nicola Peltz,118,2
2398,Eleanor Tomlinson,51,1
2399,Elisha Cuthbert,15,1
2410,Taissa Farmiga,44,1
2411,Maisie Williams,227,3
2417,Willa Holland,47,1
2421,Camila Cabello,171,2
2423,Brenda Song,55,1
2429,Heidi Klum,49,1
2430,Lana Parrilla,45,1
2434,Alicia Vikander,430,5
2435,Gal Gadot,282,3
2437,Krysten Ritter,43,1
2442,Winona Ryder,53,1
2448,Gigi Hadid,535,6
2452,Jessica Lowndes,151,2
2453,Hailey Baldwin,327,4
2454,Sabrina Carpenter,531,6
2455,Sarah Paulson,95,1
2456,Zara Larsson,139,2
2459,Gillian Anderson,65,1
2467,Dua Lipa,403,4
2471,Lili Reinhart,439,5
2472,Lana Condor,173,2
2476,Camila Mendes,198,2
2477,Madison Beer,237,3
2478,Maddie Hasson,38,1
2479,Madelaine Petsch,691,7
2481,Josephine Langford,78,1
2485,Alycia Debnam-Carey,102,1
2487,Emily Bett Rickards,54,1
2496,Kiernan Shipka,190,2
2497,Lauren German,16,1
2500,Katherine Langford,111,2
2501,Madison Pettis,64,1
2502,Malin Akerman,65,1
2503,Tiera Skovbye,8,1
2504,Maria Menounos,60,1
2505,Melanie Lynskey,3,1
2506,Melissa Joan Hart,80,1
2507,Melissa Rauch,11,1
2508,Mena Suvari,143,2
2509,Michelle Dockery,68,1
2510,Michelle Pfeiffer,17,1
2511,Noah Cyrus,108,2
2512,Minka Kelly,72,1
2513,Camila Morrone,82,1
2514,Mischa Barton,273,3
2515,Natasha Bedingfield,120,2
2516,Nicole Richie,155,2
2517,Odette Annable,30,1
2518,Odeya Rush,31,1
2519,Olivia Culpo,3,1
2520,Molly C. Quinn,16,1
2521,Padma Lakshmi,34,1
2522,Paulina Rubio,32,1
2523,Paz Vega,86,1
2524,Paula Patton,28,1
2525,Piper Perabo,106,2
2526,Rosario Dawson,40,1
2527,Roxane Mesquida,20,1
2528,Rumer Willis,1,1
2529,Samantha Droke,48,1
2530,Sammi Hanratty,20,1
2531,Sandra Bullock,18,1
2532,Sarah Jessica Parker,25,1
2533,Sarah Michelle Gellar,141,2
2534,Shelley Hennig,24,1
2535,Shenae Grimes Beech,96,1
2536,Millie Bobby Brown,140,2
2537,Rebecca Black,8,1
2538,Tara Reid,102,1
2539,Taylor Schilling,62,1
2540,Torrey DeVitto,7,1
2541,Tyra Banks,14,1
2542,Uma Thurman,32,1
2543,Vera Farmiga,64,1
2544,Kelly Osbourne,77,1
2545,Kendra Wilkinson,68,1
2547,Jennifer Garner,22,1
2548,Joey King,406,4
2549,Janel Parrish,63,1
2551,Kerry Bishe,1,1
2552,Kim Raver,1,1
2553,Kimbra,11,1
2554,Kristin Chenoweth,24,1
2555,Lauren Conrad,91,1
2556,Jillian Rose Reed,16,1
2557,Lyndsy Fonseca,93,1
2559,Katherine McNamara,447,5
2560,Tatiana Maslany,49,1
2562,Anastasiya Scheglova,340,4
2563,MarГ­a Pedraza,62,1
2564,Kourtney Kardashian,35,1
2565,Skyler Samuels,46,1
2566,Soko,152,2
2567,Elisabeth Moss,119,2
2568,Sadie Sink,164,2
2569,Gemma Chan,33,1
2571,Naomi Scott,84,1
2572,Janelle Monae,44,1
2573,Billie Eilish,128,2
2577,Emma Mackey,55,1
2581,Kathryn Newton,125,2
2583,Kristine Froseth,56,1
2585,Jordyn Jones,41,1
2586,Loren Gray,34,1
2587,Freya Mavor,40,1
2589,Sydney Sweeney,267,3
2595,Katherine Waterston,67,1
2615,Perrie Edwards,23,1
2645,Melissa Roxburgh,34,1
2651,Halsey,199,2
2661,Eliza Taylor,46,1
2663,Lindsey Morgan,48,1
2665,Marie Avgeropoulos,32,1
2669,Madeline Brewer,42,1
2670,Cailee Spaeny,25,1
2671,Kalani Hilliker,7,1
2672,Priyanka Chopra,191,2
2673,Stella Hudgens,26,1
2674,Lauren Jauregui,44,1
2675,Ally Brooke,35,1
2676,Normani Kordei,87,1
2679,Haley Lu Richardson,34,1
2681,Eiza Gonzalez,184,2
2682,Ellie Bamber,62,1
2684,Meg Myers,47,1
2686,Daisy Ridley,142,2
2687,Busy Philipps,28,1
2689,Ali Larter,56,1
2693,Ariel Winter,82,1
2694,Ashley Rickards,5,1
2695,Maya Hawke,163,2
2697,Bea Miller,73,1
2698,Bonnie McKee,13,1
2701,Natalia Dyer,181,2
2707,Ursula Corbero,45,1
2710,Chloe Bennet,99,1
2715,Alexa Nisenson,4,1
2738,Florence Pugh,115,2
2740,Bebe Rexha,192,2
2815,Barbie Ferreira,24,1
2894,Christina Ricci,40,1
2912,Ester ExpГіsito,90,1
2915,Danna Paola,54,1
2918,Daniella Monet,32,1
2958,Emily Deschanel,11,1
2961,Emma Bell,2,1
2970,Erika Christensen,70,1
2972,EsmГ©e Denters,26,1
2982,Famke Janssen,48,1
2995,Genevieve Morton,59,1
3004,Gillian Zinser,13,1
3007,Ginnifer Goodwin,23,1
3010,Greer Grammer,3,1
3024,Halston Sage,127,2
3027,Hannah Simone,29,1
3029,Hayley Atwell,87,1
3031,Heather Graham,51,1
3038,Holly Madison,41,1
3044,Isabelle Fuhrman,18,1
3047,Jaime Murray,77,1
3059,Jayma Mays,16,1
3061,Jenna Dewan,38,1
3063,Jenna Fischer,30,1
3066,Jenna Ushkowitz,171,2
3079,Jessica Lucas,4,1
3081,Jessica Stroup,8,1
3086,Victoria Pedretti,28,1
3087,Anya Taylor-Joy,316,4
3091,Abigail Cowen,79,1
3092,Dove Cameron,399,4
3096,AyЕџe Hatun Г–nal,3,1
3101,Eliza Dushku,102,1
3177,Keke Palmer,81,1
3244,Anne Marie,12,1
3271,Emmanuelle Vaugier,43,1
3281,Sofia Carson,20,1
3282,Doja Cat,12,1
3292,Kim Petras,79,1
3294,Jenna Ortega,118,2
3303,Madelyn Cline,113,2
3304,Ana de Armas,210,2
3312,Nessa Barrett,17,1
3391,Simge SaДџД±n,8,1
3392,Beren Saat,47,1
3394,Charlotte McKinney,8,1
3395,Saweetie,4,1
3397,Larsen Thompson,61,1
3398,Rosalia,108,2
3399,Megan Thee Stallion,53,1
3400,Demet AkalД±n,100,1
3401,Hande ErГ§el,187,2
3406,GГјlЕџen,45,1
3415,Maddie Ziegler,13,1
3417,Samara Weaving,27,1
3424,Sofia Richie,13,1
3429,Tate McRae,24,1